year,direction,family,state,tail,n,flagged,symbols,exchanges,loser_rejection,winner_sacrifice,selective_efficiency,TP1,TP1_rate,Loss,Full_Stop,Avg_R,Net
2023,LONG,compression,EXPANDING_ALREADY,NONE,0,14,14,1,0.2972972972972973,0.3333333333333333,-0.036036036036036,3,21.428571428571427,11,11,-0.36316230764455987,-49.73075625437508
2023,LONG,compression,EXPANDING_ALREADY,WINNER,1,14,14,1,0.2972972972972973,0.375,-0.07770270270270269,3,21.428571428571427,11,11,-0.36316230764455987,-49.73075625437508
2023,LONG,compression,EXPANDING_ALREADY,WINNER,3,14,14,1,0.2972972972972973,0.5,-0.2027027027027027,3,21.428571428571427,11,11,-0.36316230764455987,-49.73075625437508
2023,LONG,compression,EXPANDING_ALREADY,WINNER,5,13,13,1,0.2972972972972973,0.5,-0.2027027027027027,2,15.384615384615385,11,11,-0.5995418963581446,-75.3438919208872
2023,LONG,compression,EXPANDING_ALREADY,LOSER,1,14,14,1,0.3055555555555556,0.3333333333333333,-0.027777777777777735,3,21.428571428571427,11,11,-0.36316230764455987,-49.73075625437508
2023,LONG,compression,EXPANDING_ALREADY,LOSER,3,13,13,1,0.29411764705882354,0.3333333333333333,-0.039215686274509776,3,23.076923076923077,10,10,-0.30379117661163046,-37.98192274933384
2023,LONG,compression,EXPANDING_ALREADY,LOSER,5,13,13,1,0.3125,0.3333333333333333,-0.020833333333333315,3,23.076923076923077,10,10,-0.30379117661163046,-37.98192274933384
2023,LONG,compression,MILD_COMPRESSION,NONE,0,31,30,1,0.6756756756756757,0.6666666666666666,0.009009009009009028,6,19.35483870967742,25,24,-0.1170848467206895,-38.02333029667061
2023,LONG,compression,MILD_COMPRESSION,WINNER,1,30,29,1,0.6756756756756757,0.625,0.05067567567567566,5,16.666666666666664,25,24,-0.2755498741574703,-84.38485867289735
2023,LONG,compression,MILD_COMPRESSION,WINNER,3,28,27,1,0.6756756756756757,0.5,0.17567567567567566,3,10.714285714285714,25,24,-0.6243621166692291,-174.91788541628048
2023,LONG,compression,MILD_COMPRESSION,WINNER,5,27,26,1,0.6756756756756757,0.5,0.17567567567567566,2,7.4074074074074066,25,24,-0.8210585614626803,-215.2208905391413
