entry_time,signal_time,entry_mode,exchange,symbol,year,direction,source_candidate_id,selected,quality_status,signal_known_at,contraction_8,realized_range_8,volatility_width_8,contraction_16,realized_range_16,volatility_width_16,atr5_atr20,compression,volume_build_3v20,volume_build_6v20,volume_build_6v30,rising_volume_count,high_volume_count,volume_state,signed_body_ratio,body_ratio,signed_clv,upper_wick_ratio,lower_wick_ratio,adverse_wick_ratio,breakout_range_atr,breakout_distance_atr,breakout_close_beyond_structure,breakout_volume_ratio,quality,transition,tp1_hit,net_u,realized_r,full_stop,error
2023-08-11 03:30:00+00:00,2023-08-11 03:15:00+00:00,壓縮早突破,Binance,1000PEPE/USDT:USDT,2023,LONG,be25b32a2014e47de19787be99f0ca94917d2945c440d07ce9a0a9edf78b957b,True,COMPLETE,2023-08-11T03:30:00+00:00,1.1366459627329337,3.0310559006211206,3.15126658299787,0.9689440993788953,3.776397515527947,3.726376796870113,1.5254658385093238,EXPANDING_ALREADY,1.7119972039351972,2.2245761441863348,2.202737969443642,1.0,6.0,EXHAUSTED_HIGH_VOLUME,0.6173469387755156,0.6173469387755156,0.8724489795918422,0.1275510204081578,0.25510204081632665,0.1275510204081578,2.434782608695665,0.795031055900643,6.4000000000001556e-06,2.655398984202694,CLEAN_EXPANSION,SPIKE_BREAKOUT,False,-10.58973299026188,-1.058973299026188,True,
2023-08-11 19:00:00+00:00,2023-08-11 18:45:00+00:00,壓縮早突破,Binance,KNC/USDT:USDT,2023,LONG,7ee7e59daeaa02b8a487192e0696f5ec2bfe947c36967764abdf2e390f05673f,True,COMPLETE,2023-08-11T19:00:00+00:00,0.9014084507042205,2.7605633802817007,1.9113459666126795,0.9577464788732597,3.4929577464789285,3.4849692840158206,0.8563380281690205,MILD_COMPRESSION,0.7417737430802345,0.7038568896096379,0.7600476857525533,1.0,0.0,SUDDEN_SPIKE_ONLY,0.7391304347825982,0.7391304347825982,0.826086956521716,0.17391304347828396,0.08695652173911785,0.17391304347828396,1.2957746478873697,0.9014084507041892,0.0015999999999999348,2.3569998326458688,CLEAN_EXPANSION,SPIKE_BREAKOUT,True,45.51794746246545,4.600512950005343,False,
2023-08-13 00:30:00+00:00,2023-08-13 00:15:00+00:00,壓縮早突破,Binance,ARKM/USDT:USDT,2023,LONG,e20428a2d66cbe11ceb2ca690544b193e402c00c3cff1dbecf04baa8141d4a38,True,COMPLETE,2023-08-13T00:30:00+00:00,1.0174418604651176,1.8023255813953447,1.0935024926630086,1.0174418604651176,2.790697674418621,2.55512342016313,0.9999999999999871,NO_COMPRESSION,0.7267037833447401,0.6773411314541414,0.4042005585495232,3.0,0.0,SUDDEN_SPIKE_ONLY,0.5652173913043279,0.5652173913043279,0.6956521739130319,0.3043478260869681,0.13043478260870406,0.3043478260869681,1.337209302325596,0.1162790697674291,0.00019999999999997797,2.249319654304681,WEAK_BREAK,SPIKE_BREAKOUT,False,-11.707722347848982,-1.147500904538845,True,
2023-08-16 04:15:00+00:00,2023-08-16 04:00:00+00:00,壓縮早突破,Binance,QNT/USDT:USDT,2023,LONG,17c00d9ba8872e5a2f2f630cb32cd67764e760699c958b590091d67c2366eaec,True,COMPLETE,2023-08-16T04:15:00+00:00,0.6876227897839006,1.3752455795677454,0.8145545163704484,0.8644400785854774,2.9862475442043155,2.17815648237316,0.5815324165029376,MILD_COMPRESSION,0.582885729331227,0.5992101105845181,0.2442511156473975,1.0,0.0,SUDDEN_SPIKE_ONLY,0.5925925925925575,0.5925925925925575,0.6666666666666666,0.3333333333333333,0.07407407407410917,0.3333333333333333,1.060903732809461,0.35363457760315364,0.09000000000000341,2.7886913436315943,WEAK_BREAK,SPIKE_BREAKOUT,False,-12.348540440507929,-1.206830838079734,True,
2023-08-22 16:00:00+00:00,,,Binance,GMX/USDT:USDT,2023,SHORT,57ca31f390f53c8108cfb3129c86ae80b4134ab34568bce8903fd44fdfd787eb,True,DATA_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-10.480227995824023,-1.0367512896531277,True,TIMEZONE_REQUIRED
2023-08-28 23:30:00+00:00,2023-08-28 23:15:00+00:00,壓縮早突破,Binance,XVG/USDT:USDT,2023,LONG,3877eb9de5882a145153bc47dd7fa623bc3c426551652acddc9388a3cfb7c2eb,True,COMPLETE,2023-08-28T23:30:00+00:00,0.9043927648578796,2.377260981912151,2.41294419223335,0.9043927648578796,2.377260981912151,2.3294541397390383,0.9405684754521884,MILD_COMPRESSION,0.9110281822587486,0.9370575188155251,0.9297966379519227,3.0,2.0,SUDDEN_SPIKE_ONLY,0.45833333333331905,0.45833333333331905,0.6666666666666606,0.33333333333333937,0.2083333333333416,0.33333333333333937,1.2403100775193898,0.5167958656330772,1.0000000000000026e-05,2.3816717126062814,WEAK_BREAK,SPIKE_BREAKOUT,False,-11.18697090185143,-1.1068638890829083,True,
2023-08-29 22:15:00+00:00,2023-08-29 22:00:00+00:00,壓縮早突破,Binance,APE/USDT:USDT,2023,LONG,36ab0f9fb5c3f95b520de690f91fba7c2c2825c19bebe09dbcf77653e3b962d5,True,COMPLETE,2023-08-29T22:15:00+00:00,0.900000000000002,2.4000000000000052,2.489979919597745,1.0000000000000022,2.4000000000000052,2.1941684073926515,1.02,MILD_COMPRESSION,0.40007327775734136,0.6244438872548939,0.3474368751163265,1.0,1.0,SUDDEN_SPIKE_ONLY,0.39999999999998814,0.39999999999998814,0.7333333333333314,0.26666666666666866,0.3333333333333432,0.26666666666666866,1.4999999999999922,0.49999999999999,0.004999999999999893,2.7609987511056335,WEAK_BREAK,SPIKE_BREAKOUT,False,-10.799081101978237,-1.091693208262677,True,
2023-08-31 09:45:00+00:00,2023-08-31 09:30:00+00:00,壓縮早突破,Binance,DEFI/USDT:USDT,2023,LONG,4516ce2fd5ea047db63b11d0cc3146eff3d110a0b6be8a373c6f16e309880ebe,True,COMPLETE,2023-08-31T09:45:00+00:00,0.9954751131221709,2.5339366515837307,2.1492021876991694,0.9954751131221451,2.5339366515837307,1.8633251214373794,1.067873303167421,MILD_COMPRESSION,0.8718864104906207,1.2704967565444356,1.1244516669837956,0.0,4.0,SUDDEN_SPIKE_ONLY,0.6153846153846322,0.6153846153846322,0.8461538461538529,0.1538461538461471,0.23076923076922068,0.1538461538461471,2.352941176470567,0.09049773755658203,0.10000000000002274,2.6074532174654794,CLEAN_EXPANSION,SPIKE_BREAKOUT,False,-12.249766627617229,-1.252013043478265,True,
2023-09-05 05:15:00+00:00,2023-09-05 05:00:00+00:00,壓縮早突破,Binance,DOGE/USDT:USDT,2023,LONG,66d92527c3dd10ead23a5a34bacdde743f770c9bc547cfe162a1a2983b58b5c4,True,COMPLETE,2023-09-05T05:15:00+00:00,0.7980049875311452,3.0922693266832915,3.0114736345612587,0.9226932668329472,3.591022443890292,3.243597289637271,0.6882793017456369,MILD_COMPRESSION,0.5125889142623756,0.4978550802698389,0.5043715981759952,1.0,0.0,SUDDEN_SPIKE_ONLY,0.6666666666666838,0.6666666666666838,0.7037037037037075,0.2962962962962925,0.03703703703702371,0.2962962962962925,1.3466334164588247,0.5486284289276796,0.00010999999999999899,2.9034096859506904,WEAK_BREAK,SPIKE_BREAKOUT,False,-10.930678430991629,-1.1313576177285334,True,
2023-09-06 18:00:00+00:00,2023-09-06 17:45:00+00:00,壓縮早突破,Binance,ARPA/USDT:USDT,2023,LONG,a7f66211c8fd753a661359d719954c83bdc50033e5d7a2b65e02e4c09187b863,True,COMPLETE,2023-09-06T18:00:00+00:00,0.9022556390977423,2.5814536340852032,1.3752526233903741,0.9523809523809482,3.2330827067669157,2.8639980088935184,0.9172932330827058,MILD_COMPRESSION,0.8530394218595289,0.7271623588624494,0.6540330220551845,1.0,1.0,SUDDEN_SPIKE_ONLY,0.4600000000000017,0.4600000000000017,0.6400000000000011,0.3599999999999989,0.17999999999999944,0.3599999999999989,2.506265664160403,0.8521303258145363,0.00034,2.7548004165460522,WEAK_BREAK,SPIKE_BREAKOUT,False,-10.01166623927916,-1.048094832529312,True,
